t,S_A_nats,dH_std,dK_ball,Pi_std,Pi_ball,Pi_fluct_ball,sqrtF_sld,sqrtF_bures,triad_pure,hatPsi
0.05,0.005229185297282022,3.6052060494638964,7.693699712819706,0.00039432848053156663,0.0008415177595392879,0.0008414740704073515,15.38660055702845,,0.0008414740704073515,2.1777096613334986e-06
0.1,0.017416558815976493,3.6041704906151897,7.688916877537891,0.0043731061507174445,0.009329317183265884,0.009327375990190291,15.374634019895108,1.9989469730423195,0.009327375990190293,2.4138969367047114e-05
0.15000000000000002,0.034511376664632866,3.6024534003708197,7.681010395894772,0.017162594061762872,0.036593412532512685,0.036576280886818316,15.354828877203259,1.9974545355156785,0.036576280886818316,9.465831813963418e-05
0.2,0.05535382660289703,3.600061218834577,7.670073194937334,0.04412301443133384,0.09400583203947943,0.09392764502577775,15.327387604489234,1.995197830095259,0.09392764502577775,0.0002430819287633185
0.25,0.07911902104357592,3.597015743658043,7.656224838325366,0.09006667704481003,0.19170634187845773,0.19145745915231088,15.29257029142973,1.9933548421094542,0.19145745915231088,0.000495486163142869
0.3,0.10511440556710541,3.593335104081084,7.639631683921428,0.1588115881512858,0.3376423310023319,0.3370118424476699,15.250731990724079,1.990269661030194,0.3370118424476699,0.0008721765424415407
0.35,0.13277427939526013,3.589043021836,7.620483975769395,0.2530850907941501,0.537366330570303,0.5360020707200147,15.202274346314681,1.9865932656207685,0.5360020707200147,0.0013871572861855108
0.39999999999999997,0.16162220660100113,3.58416640970169,7.5989981326601415,0.37449861883033436,0.7939961430006175,0.7913657149025239,15.147646856493258,1.9823307539043415,0.791365714902524,0.0020480307398623096
0.44999999999999996,0.19125755970336553,3.578734882704365,7.575412784142921,0.5236326741371814,1.1084178582282076,1.1037730055759865,15.08733565624429,1.9775058428749295,1.1037730055759865,0.0028565314401171353
0.49999999999999994,0.2213475230980753,3.572779801355283,7.54998501354332,0.7001894694407466,1.4796377876165658,1.471982574475664,15.021847198684982,1.972131629789858,1.4719825744756643,0.00380944676310516
0.5499999999999999,0.251622330472736,3.5663261502038917,7.522987178315033,0.9031906023857129,1.9052355379593893,1.8932983141498119,14.951704036898036,1.966257787941909,1.893298314149812,0.004899799263588157
0.6,0.28186955931130636,3.559407987227408,7.494699193401309,1.1311862434397038,2.381828848144504,2.3640364119265014,14.877426481285065,1.9598823447333136,2.3640364119265014,0.006118055344835902
0.65,0.3119256341961612,3.5520849230330995,7.4653921983911,1.3824373700550203,2.9054590137334078,2.8799162648030254,14.799523458191077,1.9528845007990583,2.879916264803025,0.007453136934637787
0.7000000000000001,0.3416801981948416,3.5443686594487898,7.435339317667021,1.655154349835175,3.4721653971658144,3.4366216991748484,14.718451177861404,1.94547163398558,3.436621699174849,0.00889387390513231
0.7500000000000001,0.3710627664666471,3.5362932304013963,7.404816003583647,1.9476145809825582,4.078204684523724,4.030025515749042,14.63467370684658,1.937640031688476,4.030025515749042,0.01042958518830972
0.8000000000000002,0.4000393941325074,3.527942603134042,7.374176521192753,2.2583280246686472,4.72040261705766,4.656532130872719,14.54879708166293,1.9295060272913616,4.656532130872719,0.012050965521495398
0.8500000000000002,0.4286099334120477,3.5192662997793978,7.343536933140045,2.586048026349286,5.39622113665008,5.3131360814160224,14.460938518505202,1.9208992474880042,5.3131360814160224,0.013750236856232653
0.9000000000000002,0.4567954747081234,3.5103269120340888,7.313173537206263,2.929888820835694,6.103928758896171,5.997592120826416,14.371541254002578,1.9119515787426178,5.997592120826416,0.015521588561770666
0.9500000000000003,0.48463617828203753,3.50115416737883,7.283294120425691,3.2892954816400013,6.842573990309877,6.708386012668967,14.280926584881596,1.902657107501579,6.708386012668966,0.01736110183962251
1.0000000000000002,0.5121835496435678,3.49177191743877,7.254077803396517,3.664013882316634,7.6119066203343655,7.444648108769528,14.189363925105713,1.8930927691405752,7.444648108769528,0.019266526066391218
1.0500000000000003,0.5394954287302276,3.482202861349118,7.225676699212614,4.054054639320273,8.412286506858514,8.206076369456989,14.097107787853398,1.8832773042098143,8.206076369456989,0.02123707957246507
1.1000000000000003,0.5666307873234057,3.4724673926329186,7.198214210064714,4.459626661544718,9.244535477804599,8.992797398397292,14.004399069437941,1.873224684478523,8.992797398397292,0.023273090004335136
1.1500000000000004,0.5936455337146305,3.4625838502633677,7.171784594828932,4.881066223204566,10.109778437063914,9.805225431913867,13.91147494263927,1.8629784601302486,9.805225431913865,0.02537562939318493
1.2000000000000004,0.6205879316172961,3.452555183767832,7.146435626844205,5.3187217613627125,11.009209313547656,10.643861891153215,13.81855347823066,1.8525446922026911,10.643861891153215,0.027545995401905717
1.2500000000000004,0.6474982586848136,3.4423937066024477,7.122202533112748,5.772949255421888,11.944047460822734,11.50926873039548,13.725890352457064,1.841954256869285,11.50926873039548,0.02978564235132348
1.3000000000000005,0.6744067171150949,3.4321100980664565,7.099094647088844,6.244029940151883,12.91536642410368,12.40193528674059,13.633761446106625,1.8312224026475479,12.40193528674059,0.03209583663117929
1.3500000000000005,0.7013409743144694,3.421754437223684,7.077151473385385,6.732358824059651,13.924413351447694,13.322548386728856,13.542501298208517,1.8204122682769623,13.322548386728856,0.03447835572796394
1.4000000000000006,0.7283068393092157,3.411306359355402,7.056300104087212,7.237848557022248,14.971517109924475,14.271129563754076,13.452393940678999,1.8095011585273484,14.271129563754075,0.036933255369454875
1.4500000000000006,0.7553027842262853,3.400813325315994,7.036534413999102,7.760415174469904,16.056873229583825,15.247743526924637,13.363905977081458,1.798534809788557,15.247743526924639,0.03946070302088419
1.5000000000000007,0.7823230056294421,3.390252545427442,7.017749811374907,8.299735367248548,17.180273601306766,16.2521579361218,13.277271472787119,1.7874679617418303,16.2521579361218,0.04206009739299167
1.5500000000000007,0.809352966179565,3.379630112138807,6.999867969397167,8.855336883172464,18.341116320422465,17.28399828348308,13.192839939949964,1.776196947155565,17.28399828348308,0.044730469270659386
1.6000000000000008,0.8363763017775055,3.368950124348381,6.982796464015005,9.426663630602258,19.538571672965922,18.34281396259975,13.110900696528104,1.764962750991355,18.34281396259975,0.04747065249801365
1.6500000000000008,0.8633747301461977,3.3582401369811463,6.966453257105361,10.013142707685605,20.771620784844664,19.428112859163658,13.031726460737364,1.7538722273301026,19.428112859163658,0.05027937349798181
1.7000000000000008,0.8903287429954719,3.3474937434031626,6.950746007187685,10.614035935337554,22.03901591842611,20.539351494632655,12.955552636284645,1.7425591840842898,20.53935149463265,0.05315522576439378
1.7500000000000009,0.9172207847549863,3.33671949011959,6.935585330622681,11.228647919603109,23.339464412435532,21.67595087503426,12.882507006980422,1.73116301972694,21.67595087503426,0.056096710878210804
1.800000000000001,0.9440345423809944,3.3259341260813025,6.920895431456263,11.856306166075694,24.671641730746092,22.83730797800407,12.812655288744608,1.719698092246469,22.837307978004073,0.05910226823563636
1.850000000000001,0.9707586353306418,3.315147285686648,6.9066052967206595,12.496412262016744,26.034374850097613,24.022853582368498,12.745945984849262,1.7081417963627705,24.022853582368498,0.06217042470934215
1.900000000000001,0.9973838057812331,3.304376937701374,6.892684780342539,13.148439082941394,27.42666701193442,25.2318613536364,12.682202081371779,1.6963309121463728,25.2318613536364,0.06529930056744533
1.950000000000001,1.0239067297741238,3.293617294586505,6.8790311116284695,13.81191575461598,28.847491887828156,26.463622860527437,12.62113778846624,1.6843516647269698,26.46362286052744,0.06848706241103582
2.000000000000001,1.0503244387495692,3.2828861815172754,6.8656168836296,14.486476244820935,30.296084113636322,27.71720354801903,12.562395848420902,1.6723765764814054,27.71720354801903,0.0717312916397392
2.0500000000000007,1.0766359395462146,3.272191991196879,6.85240521016227,15.171779239972071,31.771723478055907,28.99138872078002,12.505506240939285,1.6603340905916852,28.991388720780023,0.07502884465846292
2.1000000000000005,1.102842237909228,3.2615470474084765,6.83939619684674,15.867569916107858,33.273963478055016,30.28489360748697,12.449997806697242,1.6480872630216992,30.28489360748697,0.07837639651754777
2.1500000000000004,1.1289426928794384,3.25096258430088,6.826571204707785,16.573558148920863,34.802176858428574,31.59557085194296,12.395167983403983,1.6356940060710008,31.595570851942963,0.08176838992354783
2.2,1.1549341996577367,3.240455260082255,6.813945192182258,17.289423188323056,36.35575021229822,32.92093229768998,12.340354801762285,1.6231746476958322,32.92093229768998,0.08519838560216095
2.25,1.1808101911936166,3.230032428508967,6.80152781952949,18.014701044465603,37.9338266801861,34.257754067415625,12.284817415788531,1.610484965472538,34.257754067415625,0.08865804025557551
2.3,1.2065588179687081,3.2197050783007763,6.789344637927934,18.74878288471072,39.5352820989322,35.60211900380289,12.227814899738368,1.5976370305603667,35.60211900380289,0.092137216398117
2.3499999999999996,1.232161934730028,3.209483775212197,6.777429039104614,19.490848771372765,41.158595497546806,36.94931847688516,12.168606872666107,1.5846280317898076,36.94931847688516,0.09562372823662728
2.3999999999999995,1.2575942652708478,3.1993785853993915,6.765820743631326,20.239823524857137,42.80175483978275,38.29381770926352,12.106471203342222,1.5714552783729003,38.29381770926352,0.09910325193316666
2.4499999999999993,1.2828228901599181,3.189399009740865,6.754564222550603,20.99434104015211,44.4621774926051,39.62925112336774,12.040720311050578,1.558115238577887,39.629251123367744,0.10255931356386494
2.499999999999999,1.307807113476019,3.179553925763572,6.74370710592049,21.75272036472815,46.13665260025113,40.948452925255665,11.970715576664709,1.544604296925461,40.948452925255665,0.10597336826887702
2.549999999999999,1.3324987132248907,3.1698515640562355,6.733298629282813,22.512955543624543,47.82130949659281,42.243525295466036,11.895879638691243,1.5309177565661762,42.243525295466036,0.10932497672826531
