A,v0,deltaA,tauA4
1,0.0,1.0,
2,1.0,0.0,
3,0.5,0.0,
4,0.2928932188135,0.0,
5,0.1019102131885,0.0,
6,0.0348920694025,0.0,8.708097978032637
