Metric,Value,Units
<Pi>,7.554477248910087,rate
Pi_liminf,7.554477248910087,rate
epsF,1.3026925527755717,rate
epsS,1.7196591869297524,nats
epsI,3.4393153294885748,nats
delta,0.3333333333333333,dimensionless
RHS_speed,1.2841183722241183,energy
