t,S_A_nats,dH_A,Pi_t,good_time,Pi_fluct,trace_norm_d,I_AB,Pi_rate,Pi_eng
0.1,0.01743049307952768,2.998340228906881,0.003431704473506056,0,0.003431704473506056,0.10464609620752104,0.034847050682377055,0.003431704473506056,0.0018211956802039388
0.2,0.055415440124565105,2.9934141208865346,0.03455240150754892,0,0.03455240150754892,0.21711427018054935,0.11076928577656756,0.03455240150754892,0.018374559879844373
0.3,0.10520868899160073,2.9853767017199333,0.12380681438505842,0,0.12380681438505842,0.3349108576859543,0.21032312225457153,0.12380681438505842,0.06605987815955174
0.39999999999999997,0.16173235133434538,2.9744838418124266,0.2902172180828191,0,0.2902172180828191,0.45509089283383636,0.3233545952488521,0.2902172180828191,0.1555562810653723
0.49999999999999994,0.2214394685722791,2.9610669721427376,0.5386496393825373,0,0.5386496393825373,0.5747187238499504,0.4427870413247825,0.5386496393825373,0.29033417746110834
0.6,0.2818950974337596,2.9455153435827723,0.8628573116392343,0,0.8628573116392343,0.6910866830436315,0.5637612884370294,0.8628573116392343,0.4681058443142023
0.7000000000000001,0.3416057055350613,2.92825186736967,1.250842520108042,0,1.250842520108042,0.8019416110625787,0.6832801931399259,1.250842520108042,0.6834903326406554
0.8000000000000002,0.39987708716835546,2.909709480719505,1.6901406980846738,0,1.6901406980846738,0.9056398530425348,0.7999100364904868,1.6901406980846738,0.9307162464289976
0.9000000000000002,0.4566445111165738,2.890308307462904,2.171501604907375,0,2.171501604907375,1.00121255387605,0.9134328234049703,2.171501604907375,1.2055883052711207
1.0000000000000002,0.5122700065698552,2.8704371213055015,2.6903849543125795,0,2.6903849543125795,1.0883394368170638,1.0244457837207968,2.6903849543125795,1.5063848729199063
1.1000000000000003,0.5673246023469141,2.8504383943448572,3.2464624186785676,0,3.2464624186785676,1.1672452740832548,1.1339475204345395,3.2464624186785676,1.8337335556607859
1.2000000000000004,0.6223825071161965,2.83059983522304,3.8417568225579855,0,3.8417568225579855,1.2385449617887838,1.2429642230659288,3.8417568225579855,2.1897497380655695
1.3000000000000005,0.6778537468375078,2.8111515720528852,4.478161294593454,0,4.478161294593454,1.3030693088745633,1.352263382651597,4.478161294593454,2.5768049831250135
1.4000000000000006,0.7338739250694275,2.792268574584033,5.154986353005305,0,5.154986353005305,1.3617028712559467,1.46218355292204,5.154986353005305,2.9962672019772643
1.5000000000000007,0.7902580835117748,2.7740773528449254,5.867007333192967,0,5.867007333192967,1.4152581682805498,1.5725838650222805,5.867007333192967,3.4474766168652313
1.6000000000000008,0.8465140558884663,2.7566652265173737,6.6033060166537725,0,6.6033060166537725,1.4643994184292628,1.682894448745574,6.6033060166537725,3.927128205367955
1.7000000000000008,0.901902340952031,2.740090620360082,7.3470449744948825,0,7.3470449744948825,1.509616804767228,1.7922348119499678,7.3470449744948825,4.429139397099955
1.800000000000001,0.9555253101392364,2.7243928743834145,8.076173011427018,0,8.076173011427018,1.5512418838537523,1.899562027464189,8.076173011427018,4.94498991620489
1.900000000000001,1.006428537258269,2.7096003167880403,8.764944405038829,0,8.764944405038829,1.5894887975260348,2.0038149448304314,8.764944405038829,5.464441594113686
2.000000000000001,1.0536995221410552,2.695736054849546,9.386040410953138,0,9.386040410953138,1.6245045099494484,2.104029697002025,9.386040410953138,5.976487502288663
2.1000000000000005,1.0965529833038008,2.6828212810144567,9.91302353948302,0,9.91302353948302,1.6564141182946932,2.199413956767259,9.91302353948302,6.470358439995526
2.2,1.1343959036968554,2.67087642159174,10.322829173153442,0,10.322829173153442,1.685352424411179,2.289378738138176,10.322829173153442,6.936431294112269
2.3,1.1668690025223907,2.659920715537822,10.598002735111661,0,10.598002735111661,1.7114786289331523,2.3735350134765936,10.598002735111661,7.366928206850923
2.3999999999999995,1.1938641279149067,2.649971105728758,10.728425535371532,0,10.728425535371532,1.7349759183934477,2.4516673939579894,10.728425535371532,7.756353479035135
2.499999999999999,1.2155190777405804,2.6410411569732513,10.712333764676423,0,10.712333764676423,1.7560407604685382,2.5236976828355484,10.712333764676423,8.101664930953227
