t,S_A,DeltaH_A,Pi,Pi_avg
0.0,1.1743183974269633e-15,2.23606797749979,1.2334362930033608e-29,1.2334362930033608e-29
0.02004008016032064,0.011923847548868553,2.2353500263111488,0.0012712716392558046,0.0006356358196279023
0.04008016032064128,0.03863125007667867,2.233201693806642,0.013331083955527321,0.0048674518649277085
0.06012024048096192,0.07473130047173837,2.2296394351551068,0.04980806936718124,0.01610260624049109
0.08016032064128256,0.11711953684937759,2.2246903178751505,0.12206418299375837,0.037294921591144545
0.1002004008016032,0.16349958410431586,2.218391497595649,0.2372091776617,0.07061396426957045
0.12024048096192384,0.2120543939948984,2.2107895163250824,0.39765087248171727,0.11733352258559142
0.1402805611222445,0.2613268019869767,2.201939442313846,0.6014967286740895,0.17785392334665368
0.16032064128256512,0.3101685391729868,2.191903893994355,0.8434842716400305,0.25181285093480665
0.18036072144288576,0.35771561356617665,2.1807519734780043,1.1162001043374903,0.338251576275075
0.2004008016032064,0.40337272149111814,2.1685581620294734,1.4113805119630323,0.4358087522467075
0.22044088176352705,0.446798576113132,2.155401208700741,1.7211220723710567,0.5429181955904033
0.24048096192384769,0.4878873581968053,2.1413630589488992,2.038869493807893,0.6579913723763641
0.2605210420841683,0.5267438446306042,2.1265278543959427,2.360097830065143,0.7795704050684197
0.280561122244489,0.5636508790438955,2.110981040798609,2.682654241217526,0.9064426608116934
0.3006012024048096,0.59902933231771,2.0948086081611748,3.0067721481518386,1.0377132537704525
0.32064128256513025,0.6333917073110383,2.078096480085903,3.334805001723174,1.1728362977676714
0.3406813627254509,0.6672917655485262,2.0609300669366073,3.67074974953853,1.3116092673104969
0.3607214428857715,0.7012734186432801,2.0433939749354946,4.019637182609911,1.4541370523262556
0.3807615230460922,0.7358226279962479,2.0255718286149924,4.3868614449246675,1.6007732719561762
0.4008016032064128,0.7713260148674543,2.0075462209623662,4.7775088798306875,1.7520463961406765
0.42084168336673344,0.8080393165134356,1.9893987674270135,5.195732949558489,1.9085776031142136
0.4408817635270541,0.846067776065446,1.971210190585608,5.6442109379745915,2.070996443760317
0.4609218436873747,0.8853592512113022,1.953060418054303,6.123711598373632,2.2398595752025385
0.48096192384769537,0.9257095394450481,1.9350285988129141,6.632799321642903,2.415577165060153
0.501002004008016,0.9667783281435305,1.9171930349519266,7.167697143120954,2.5983510103701835
0.5210420841683366,1.008113460534593,1.8996310124872886,7.722324897428826,2.788127821001985
0.5410821643286573,1.0491808893540737,1.8824184435233742,8.288518352422052,2.9845703399812726
0.561122244488978,1.0893976847273235,1.8656293298397857,8.856420896234292,3.1870479453693084
0.5811623246492986,1.1281657242141154,1.8493350055805067,9.41502296195064,3.394647112588686
0.6012024048096192,1.1649040690294292,1.833603159371495,9.95280887764637,3.6062007179131275
0.6212424849699398,1.1990784525913605,1.818496761814524,10.458459548089133,3.820333806356128
0.6412825651302605,1.2302267428272662,1.804072828840745,10.921552658065103,4.035522256407915
0.6613226452905812,1.2579795704324428,1.7903811197956803,11.333202720832338,4.25015991712628
0.6813627254509018,1.2820756132991198,1.7774628290279253,11.686589719752595,4.46262934005846
0.7014028056112224,1.3023712544265105,1.765349279514338,11.977336194527656,4.671371197127049
0.721442885771543,1.318844498394818,1.754060884544527,12.20370888792668,4.874947891472985
0.7414829659318637,1.3315932052002812,1.7436063005846212,12.366635540353196,5.072097566443516
0.7615230460921844,1.3408278155940634,1.7339818863269716,12.469543926267843,5.261775678233884
0.781563126252505,1.3468588904314054,1.7251715439456003,12.51804395074508,5.443182385046663
0.8016032064128256,1.3500799512960688,1.7171468561057601,12.519483336576654,5.615775091181542
0.8216432865731462,1.3509463100112096,1.7098677775799225,12.482417325276353,5.779266572945703
0.8416833667334669,1.3499508188401086,1.703283702225384,12.416033495447092,5.933609989748061
0.8617234468937875,1.347597738109407,1.6973348991272565,12.329574211188413,6.078972812962615
0.8817635270541082,1.3443761948534938,1.6919543084670834,12.231796565173983,6.215702229678422
0.9018036072144289,1.3407349293917348,1.6870694695907273,12.130502884063617,6.34428485259984
0.9218436873747494,1.3370601512845446,1.682604745350965,12.032170903631522,6.46530370474945
0.9418837675350701,1.3336582446181318,1.6784836148219286,11.941701346806967,6.5793953222923145
0.9619238476953907,1.3307447600529354,1.674630924046282,11.862292470649917,6.6872095498098165
0.9819639278557114,1.3284405855265602,1.6709750671940162,11.795442336793233,6.7893742055494855
1.002004008016032,1.326775452088483,1.6674498736743188,11.741068822643705,6.886466256865058
1.0220440881763526,1.3256981396488563,1.6639963165151532,11.697731415971589,6.978990586847876
1.0420841683366733,1.3250920183219832,1.6605639544442308,11.662930130798577,7.067366804658267
1.062124248496994,1.3247940501290223,1.6571119831091805,11.633451593341515,7.151923930374624
1.0821643286573146,1.3246151507719672,1.6536099489986447,11.605731107069774,7.232902242678172
1.1022044088176353,1.324359873569358,1.65003803169579,11.576198712744292,7.310461108215067
1.122244488977956,1.3238436830867195,1.646386966862643,11.54158158211029,7.384691291967615
1.1422845691382766,1.3229065405210914,1.6426577550623758,11.499141204244797,7.4556300835586
1.1623246492985972,1.3214220375596977,1.6388610196987068,11.446829330780387,7.523277528426766
1.1823647294589177,1.3193018255000057,1.6350161496352742,11.383357223723127,7.587612190015038
1.2024048096192383,1.3164955369736082,1.631150243920825,11.308180681952281,7.648605116112371
1.222444889779559,1.3129867724676048,1.627296866483542,11.22141130771628,7.706231022428563
1.2424849699398797,1.3087860178604478,1.6234949169215491,11.123673110868221,7.760476134943477
1.2625250501002003,1.3039215487734506,1.6197874416361475,11.015924330087183,7.8113425129925975
1.282565130260521,1.2984294920654806,1.616220650982417,10.899269357737332,7.858849079834824
1.3026052104208417,1.2923441846642723,1.6128425811146507,10.774778673228589,7.903029831249882
1.3226452905811623,1.2856899849553685,1.6097024201293642,10.643344272347845,7.943930046788657
1.342685370741483,1.2784753249022933,1.6068499288953744,10.505579412860877,7.981601360995603
1.3627254509018036,1.2706895903836757,1.6043348815608303,10.361770326036986,8.016096563387507
