case,trial,Pi_time_avg_final,r,r_robust
noncomm,1,1.1480647594608768,0.38491448206590084,
noncomm,2,1.6892158177223864,0.38491448206590084,
noncomm,3,1.8003366753823689,0.38491448206590084,
comm,1,0.8791026512249115,0.9333333333333332,
comm,2,0.7209534414703763,0.9333333333333332,
comm,3,0.9237569510868501,0.9333333333333332,
