mode,theta,mu,m2,p_hat,p_lo,p_hi,pz,pz_lo,pz_hi,pass
A,0.2,0.28634653411045174,0.10776240646814747,0.95755,0.9546668518810626,0.960257415923996,0.48696366183725326,0.4848569510571877,0.4892278287696874,True
A,0.4,0.28634653411045174,0.10776240646814747,0.8572,0.8522825403595137,0.861980269082005,0.2739170597834549,0.2726214132325154,0.2751043795191804,True
A,0.6,0.28634653411045174,0.10776240646814747,0.72385,0.7176111946809404,0.7300028307767416,0.12174091545931331,0.12121837006029731,0.12225550510570057,True
A,0.8,0.28634653411045174,0.10776240646814747,0.58215,0.5752995125358207,0.5889689359401613,0.030435228864828308,0.03028417643968146,0.030579718967539988,True
