mode,groups,rows,pass_rate,min_margin,mean_margin,mean_mu,mean_m2,mean_p_hat,mean_pz
A,4,4,1.0,0.4705863381627468,0.5519232835137876,0.2863465341104517,0.1077624064681474,0.7801875,0.22826421648621242
B,4,12,1.0,0.3573090484970142,0.39585959392483455,0.18179265210548423,0.08258891633746997,0.5227499999999999,0.12689040607516544
C,4,12,1.0,0.0045373258440798,0.44611874622663544,0.06695415472969914,0.022422952215879834,0.5132708333333333,0.06715208710669789
D,4,4,1.0,0.2710697859739093,0.29006089480431907,0.0390387080557599,0.0075444572222559,0.3506625,0.060601605195680974
E,4,4,1.0,0.27467127301819505,0.38483454763646224,0.0293921891175623,0.0054601867554485,0.4323,0.04746545236353775
F,4,4,1.0,0.41420806738966,0.5550975315889032,0.2039535745201115,0.0504405564261519,0.8025,0.2474024684110968
