mode,theta,mu,m2,p_hat,p_lo,p_hi,pz,pz_lo,pz_hi,pass
D,0.2,0.03903870805575997,0.00754445722225592,0.44235,0.4354784187417591,0.44924372301550985,0.12928342441745286,0.12613694346818632,0.13230231798636294,True
D,0.4,0.03903870805575997,0.00754445722225592,0.36435,0.3577070128769743,0.3710450865050469,0.07272192623481721,0.07098693052102109,0.07447320356334072,True
D,0.6,0.03903870805575997,0.00754445722225592,0.3168,0.3103880815393878,0.32328228047156904,0.032320856104363214,0.03159859617879181,0.033074633905110326,True
D,0.8,0.03903870805575997,0.00754445722225592,0.27915,0.27297595659576307,0.28540886573021834,0.008080214026090798,0.007912139059289482,0.008288514024031125,True
