mode,lam,theta,mu,m2,p_hat,p_lo,p_hi,pz,pz_lo,pz_hi,pass
C,0.01,0.2,0.01287916841983322,0.001260750517869937,1.0,0.9998079639438954,0.9999999999999999,0.08420278649472382,0.07599455654688433,0.09533199660072365,True
C,0.01,0.4,0.01287916841983322,0.001260750517869937,1.0,0.9998079639438954,0.9999999999999999,0.04736406740328214,0.04307849865240874,0.054058569867514436,True
C,0.01,0.6,0.01287916841983322,0.001260750517869937,1.0,0.9998079639438954,0.9999999999999999,0.021050696623680955,0.018962910408790848,0.023568173277527884,True
C,0.01,0.8,0.01287916841983322,0.001260750517869937,0.0098,0.008525789697662874,0.0112624824517421,0.005262674155920235,0.004727454056845122,0.0059310851489702415,True
C,0.1,0.2,0.03759155962144776,0.010925876581515418,1.0,0.9998079639438954,0.9999999999999999,0.08277598784016205,0.08086663636102757,0.08476338935838593,True
C,0.1,0.4,0.03759155962144776,0.010925876581515418,0.09775,0.09371111057430051,0.10194338243283566,0.04656149316009114,0.04548476332895707,0.047635451800317426,True
C,0.1,0.6,0.03759155962144776,0.010925876581515418,0.0976,0.09356395533997462,0.10179059527797839,0.02069399696004051,0.02018256500076314,0.021235552932751096,True
C,0.1,0.8,0.03759155962144776,0.010925876581515418,0.0973,0.09326965381768895,0.10148501202189772,0.005173499240010124,0.005053213566322539,0.005304148869797409,True
C,0.5,0.2,0.15039173614781656,0.05508222954825424,0.49325,0.48632307381164364,0.5001795186751138,0.2627945831479809,0.2596277233392754,0.26595384271157496,True
C,0.5,0.4,0.15039173614781656,0.05508222954825424,0.4786,0.47168160380544333,0.485526615337758,0.14782195302073922,0.14593924437521955,0.14988191237604023,True
C,0.5,0.6,0.15039173614781656,0.05508222954825424,0.45625,0.44935611821620214,0.463160684938707,0.06569864578699522,0.0648367880878863,0.06654303923415526,True
C,0.5,0.8,0.15039173614781656,0.05508222954825424,0.4287,0.42185563488585154,0.43557174945574906,0.016424661446748794,0.01619257322419114,0.016611074112248027,True
