mode,theta,mu,m2,p_hat,p_lo,p_hi,pz,pz_lo,pz_hi,pass
E,0.2,0.02939218911756235,0.005460186755448591,0.6413,0.6346263912059618,0.647919339404583,0.10125963170888068,0.09429374778471311,0.10835552889421458,True
E,0.4,0.02939218911756235,0.005460186755448591,0.4561,0.44920632988447656,0.4630105308812494,0.05695854283624537,0.053502086875703396,0.06092657212930379,True
E,0.6,0.02939218911756235,0.005460186755448591,0.3508,0.34421540829103475,0.3574418952681068,0.02531490792722017,0.023797713741157748,0.027049900235039066,True
E,0.8,0.02939218911756235,0.005460186755448591,0.281,0.2748130478341847,0.2872710639583892,0.006328726981805039,0.005968172064262971,0.006826422518640138,True
