case,trial,N,t_max,n_points,Pi_rate_time_avg_final,Pi_rate_liminf_proxy_final,r_stat,energy_prod_mean,RHS_capped,RHS_speed,epsF,epsS,epsI,delta
noncomm,1,6,12.0,200,1.1570226645631698,1.0963504615655209,0.38491448206590084,1.2581185578035912,0.07866235129074049,0.014995876992673553,0.3245152676330674,0.29379745547937247,0.5875949109586303,0.5353535353535354
noncomm,2,6,12.0,200,1.7133536055074985,1.6879256241211704,0.38491448206590084,6.55757144857156,0.11871853417180278,0.013525998114265936,0.11407694906844337,0.6474769228621866,1.294953845724263,0.2828282828282828
comm,1,6,12.0,200,0.8703140759379273,0.8582001399807131,0.9333333333333332,2.5039746574753483,0.056951466772269255,7.397246992971456e-05,0.04301422387863692,0.05371809536535628,0.10743619073060172,0.5959595959595959
comm,2,6,12.0,200,0.9469308960353154,0.9403576424745054,0.9333333333333332,4.435678481213197,0.061947646106975694,0.0,0.07662354893101085,0.6482325010506805,1.2964650021012474,0.0
