Case,Final_Liminf_Mean,Final_Liminf_Std,Min_Liminf_Mean,Max_Liminf_Mean,Conv_Time_Mean
Non-comm,1.528,0.304,1.053,1.620,6.62
Comm,1.865,0.101,1.137,1.897,5.45
