L,N_qubits,degeneracy,Je,Jm,state,SA,IAB,Delta_x,Delta_z,Wx_expect,Wz_expect,Pi_topo_x,Pi_topo_z,entropy_base
2,8,4,1.0,1.0,mixed-gs,2.772589,4.158883,1.000000,1.000000,0.000000,0.000000,11.530872,11.530872,nats
2,8,4,1.0,1.0,mixed-gs,2.772589,4.158883,1.000000,1.000000,0.000000,-0.000000,11.530872,11.530872,nats
